system:index,Latitude,Longitude,Municipio,.geo
00000000000000000008,-23.634578,-46.42598,SPo Paulo,"{""type"":""Point"",""coordinates"":[-46.42597966806335,-23.634577771986606]}"
00000000000000000017,-23.420841,-46.758413,SPo Paulo,"{""type"":""Point"",""coordinates"":[-46.75841456979986,-23.420839681196583]}"
00000000000000000033,-23.026323,-47.036117,Valinhos,"{""type"":""Point"",""coordinates"":[-47.03611846520635,-23.026325174602956]}"
00000000000000000133,-21.105573,-47.811316,Ribeirdo Preto,"{""type"":""Point"",""coordinates"":[-47.8113153469437,-21.105571854977587]}"
0000000000000000000e,-23.513564,-46.844802,Barueri,"{""type"":""Point"",""coordinates"":[-46.844800734508254,-23.513562228499847]}"
0000000000000000000f,-23.51111,-46.872778,Barueri,"{""type"":""Point"",""coordinates"":[-46.87277713451757,-23.511109722920512]}"
00000000000000000181,-20.560737,-47.419676,Franca,"{""type"":""Point"",""coordinates"":[-47.41967696052061,-20.560736592775704]}"
00000000000000000036,-23.00722,-46.818333,Itatiba,"{""type"":""Point"",""coordinates"":[-46.81833151065499,-23.007217926589373]}"
00000000000000000107,-21.31824,-48.1274,Pradapolis,"{""type"":""Point"",""coordinates"":[-48.12739872511722,-21.318239761514402]}"
00000000000000000021,-23.26389,-47.299444,Itu,"{""type"":""Point"",""coordinates"":[-47.29944621881654,-23.263888242320935]}"
000000000000000000f4,-21.419022,-48.288821,Guariba,"{""type"":""Point"",""coordinates"":[-48.288822642353004,-21.4190199044209]}"
0000000000000000001b,-23.41471,-46.963336,Santana do Parnaiba,"{""type"":""Point"",""coordinates"":[-46.96333701781201,-23.414708417248228]}"
00000000000000000005,-23.65806,-47.211111,Ibinna,"{""type"":""Point"",""coordinates"":[-47.21111142694778,-23.658059398133528]}"
00000000000000000032,-23.043056,-47.368611,Elias Fausto,"{""type"":""Point"",""coordinates"":[-47.368611335256546,-23.043055721755103]}"
0000000000000000018e,-20.406389,-47.4225,Cristais Paulistas,"{""type"":""Point"",""coordinates"":[-47.42249957148744,-20.406389268915564]}"
0000000000000000001f,-23.310828,-47.15755,Cabre va,"{""type"":""Point"",""coordinates"":[-47.15754870509378,-23.310829199109495]}"
0000000000000000002c,-23.08806,-47.207778,Indaiatuba,"{""type"":""Point"",""coordinates"":[-47.2077760193598,-23.088061428686505]}"
00000000000000000160,-20.90694,-48.639167,Monte Azul Paulista,"{""type"":""Point"",""coordinates"":[-48.63916529392014,-20.9069411985567]}"
000000000000000000b1,-21.93389,-50.519444,Tupn,"{""type"":""Point"",""coordinates"":[-50.51944335332878,-21.9338900075447]}"
000000000000000000f1,-21.450556,-47.004189,Mococa,"{""type"":""Point"",""coordinates"":[-47.004186842562625,-21.450554667070108]}"
00000000000000000088,-22.424167,-48.173333,Torrinha,"{""type"":""Point"",""coordinates"":[-48.17333192506876,-22.42416816835953]}"
000000000000000000b3,-21.92714,-47.351569,Pirassununga,"{""type"":""Point"",""coordinates"":[-47.35156865103027,-21.92713892854994]}"
000000000000000000d2,-21.60222,-46.901944,SPo Jose do Rio Pardo,"{""type"":""Point"",""coordinates"":[-46.90194411450816,-21.60222207119731]}"
0000000000000000005c,-22.737744,-50.366301,CPndido Mota,"{""type"":""Point"",""coordinates"":[-50.366299986749226,-22.737745531733733]}"
0000000000000000005d,-22.736724,-50.365568,CPndido Mota,"{""type"":""Point"",""coordinates"":[-50.36556869417647,-22.73672439759251]}"
000000000000000000a4,-22.13722,-51.388889,Presidente Prudente,"{""type"":""Point"",""coordinates"":[-51.388887794931755,-22.13722055647597]}"
00000000000000000014,-23.46889,-47.739167,Capela do Alto,"{""type"":""Point"",""coordinates"":[-47.73916709189895,-23.468890954147433]}"
0000000000000000001d,-23.349683,-46.773412,Caieiras,"{""type"":""Point"",""coordinates"":[-46.77341052664259,-23.3496813465873]}"
00000000000000000086,-22.450077,-49.930532,Ocao艨u,"{""type"":""Point"",""coordinates"":[-49.930529877200165,-22.450075545479447]}"
00000000000000000051,-22.775514,-47.202909,Paulania,"{""type"":""Point"",""coordinates"":[-47.20291114011049,-22.775514117655543]}"
00000000000000000079,-22.531389,-51.502778,Narandiba,"{""type"":""Point"",""coordinates"":[-51.502777694937826,-22.531387253187138]}"
00000000000000000174,-20.7044,-48.4831,Colina,"{""type"":""Point"",""coordinates"":[-48.48310121615059,-20.70439991051206]}"
00000000000000000177,-20.669305,-48.498354,Colina,"{""type"":""Point"",""coordinates"":[-48.49835580085443,-20.66930678522231]}"
00000000000000000022,-23.25528,-45.693333,Jambeiro,"{""type"":""Point"",""coordinates"":[-45.693331528577986,-23.255282177287974]}"
00000000000000000002,-24.10889,-49.335556,Itarard,"{""type"":""Point"",""coordinates"":[-49.335556482739946,-24.10888789193009]}"
00000000000000000096,-22.31444,-49.058611,Bauru,"{""type"":""Point"",""coordinates"":[-49.058610634512526,-22.3144386096389]}"
00000000000000000015,-23.45417,-46.533611,Guarulhos,"{""type"":""Point"",""coordinates"":[-46.53360899019038,-23.454171461570343]}"
0000000000000000005e,-22.73556,-47.647778,Piracicaba,"{""type"":""Point"",""coordinates"":[-47.647777815808574,-22.73556057221759]}"
0000000000000000003f,-22.924445,-45.613168,Tremembe,"{""type"":""Point"",""coordinates"":[-45.61316580983913,-22.924443633736153]}"
00000000000000000003,-23.708686,-46.475,Maun,"{""type"":""Point"",""coordinates"":[-46.474998565943885,-23.708688031493228]}"
00000000000000000058,-22.743619,-49.696577,SPo Pedro do Turvo,"{""type"":""Point"",""coordinates"":[-49.69657868133009,-22.74361816782098]}"
00000000000000000004,-23.6633,-49.2528,Coronel Macedo,"{""type"":""Point"",""coordinates"":[-49.252800026289044,-23.663298841871217]}"
00000000000000000009,-23.62639,-49.310278,Coronel Macedo,"{""type"":""Point"",""coordinates"":[-49.31027783886796,-23.626390862452666]}"
00000000000000000099,-22.2775,-48.123056,Brotas,"{""type"":""Point"",""coordinates"":[-48.123055560691164,-22.27749941651302]}"
00000000000000000059,-22.74111,-48.574167,SPo Manuel,"{""type"":""Point"",""coordinates"":[-48.574164977864065,-22.741112153029]}"
0000000000000000004d,-22.788958,-50.10291,Ibirarema,"{""type"":""Point"",""coordinates"":[-50.10290980572429,-22.788958307331374]}"
0000000000000000004e,-22.78778,-50.219722,Palmital,"{""type"":""Point"",""coordinates"":[-50.21972041692037,-22.787781104653288]}"
00000000000000000052,-22.774106,-50.206076,Palmital,"{""type"":""Point"",""coordinates"":[-50.20607556769681,-22.77410504172268]}"
000000000000000000fa,-21.393423,-47.954038,Guatapar,"{""type"":""Point"",""coordinates"":[-47.95403779436134,-21.39342466437474]}"
